feature_id,rep1,rep2,rep3,rep4,rep5,rep6
F0001,23,20,12,23,15,20
F0002,11,9,7,11,17,11
F0003,23,12,18,14,24,21
F0004,13,22,12,27,19,32
F0005,26,20,17,14,25,14
F0006,5,31,22,28,24,17
F0007,25,18,15,16,15,15
F0008,25,12,20,17,19,21
F0009,14,23,21,29,19,9
F0010,14,19,20,35,17,29
F0011,22,14,11,10,19,23
F0012,12,34,5,25,36,20
F0013,12,11,21,12,15,19
F0014,15,29,14,34,23,28
F0015,28,19,24,13,8,8
F0016,10,20,11,21,10,32
F0017,18,9,18,11,14,24
F0018,44,23,17,24,17,16
F0019,20,16,18,16,17,31
F0020,17,15,21,14,12,4
F0021,26,25,40,20,18,31
F0022,21,25,15,18,19,19
F0023,17,19,11,42,16,13
F0024,16,15,23,22,1,12
F0025,20,14,22,18,18,14
F0026,25,29,10,31,16,24
F0027,16,25,20,13,20,22
F0028,9,25,27,12,16,27
F0029,22,20,28,8,22,18
F0030,20,23,24,35,12,24
F0031,15,24,37,23,9,13
F0032,32,21,31,19,23,38
F0033,6,22,15,17,18,22
F0034,19,15,8,26,26,43
F0035,26,27,20,15,4,24
F0036,28,21,40,19,17,13
F0037,11,17,34,28,24,11
F0038,31,28,34,20,23,21
F0039,29,23,16,17,14,34
F0040,16,19,20,15,39,30
F0041,22,17,15,35,24,17
F0042,15,14,18,15,9,35
F0043,23,17,15,20,23,15
F0044,21,24,11,25,26,13
F0045,26,16,20,37,17,34
F0046,13,14,13,29,20,10
F0047,14,25,14,18,22,10
F0048,7,11,19,25,16,25
F0049,23,24,15,27,20,15
F0050,18,21,16,18,25,10
F0051,18,15,16,17,14,39
F0052,25,23,14,19,17,16
F0053,10,14,33,26,27,13
F0054,6,21,20,28,25,18
F0055,19,29,18,10,11,26
F0056,20,35,25,17,20,16
F0057,5,21,25,8,13,20
F0058,32,19,14,18,23,12
F0059,22,30,7,34,14,30
F0060,14,21,20,20,17,25
F0061,15,14,10,25,27,16
F0062,17,10,26,22,14,15
F0063,27,9,9,24,7,15
F0064,15,17,21,16,39,42
F0065,14,22,16,18,18,31
F0066,27,17,14,15,16,17
F0067,13,20,25,20,34,10
F0068,27,25,9,18,24,23
F0069,18,10,27,35,21,29
F0070,32,18,8,25,12,19
F0071,19,24,28,22,11,12
F0072,20,17,29,24,32,15
F0073,26,21,18,9,20,15
F0074,28,16,20,13,13,23
F0075,32,21,15,32,22,22
F0076,14,14,7,30,27,18
F0077,34,28,17,22,20,10
F0078,15,30,21,19,14,9
F0079,19,17,13,8,31,9
F0080,13,19,9,39,12,21
F0081,12,17,10,35,17,14
F0082,18,16,18,19,12,8
F0083,13,15,13,45,12,24
F0084,15,16,24,11,14,36
F0085,23,18,17,22,13,25
F0086,22,21,14,17,19,34
F0087,21,18,30,33,16,24
F0088,22,12,20,26,20,17
F0089,14,22,20,42,13,19
F0090,12,4,28,7,12,16
F0091,19,30,18,17,8,10
F0092,22,22,18,25,32,28
F0093,12,39,25,13,22,19
F0094,26,24,31,20,10,20
F0095,22,20,26,32,26,20
F0096,15,28,18,20,17,20
F0097,14,17,20,13,17,31
F0098,9,19,10,19,26,21
