feature_id,rep1,rep2,rep3,rep4,rep5,rep6
F0001,49,74,33,73,48,33
F0002,35,75,47,30,63,61
F0003,34,51,65,43,60,37
F0004,57,45,43,79,44,35
F0005,44,58,38,41,65,49
F0006,43,56,70,60,60,34
F0007,55,44,60,51,52,51
F0008,61,43,63,46,70,43
F0009,74,47,71,60,37,30
F0010,50,53,42,38,42,47
F0011,48,76,52,42,39,40
F0012,55,41,55,61,43,43
F0013,41,56,55,61,45,89
F0014,30,42,54,36,62,68
F0015,50,50,67,41,55,35
F0016,41,49,41,41,48,73
F0017,62,47,37,48,43,28
F0018,46,52,51,75,63,45
F0019,61,42,53,61,57,38
F0020,52,51,68,65,60,63
F0021,66,44,71,69,45,25
F0022,45,59,36,66,88,41
F0023,48,66,43,41,74,39
F0024,33,42,74,59,62,28
F0025,75,57,41,44,54,35
F0026,56,41,43,24,39,35
F0027,59,52,71,53,37,59
F0028,41,50,69,41,38,56
F0029,51,64,41,78,45,41
F0030,36,57,58,40,48,36
F0031,57,63,76,64,47,69
F0032,56,44,36,68,29,55
F0033,36,45,57,42,47,44
F0034,51,71,71,38,29,77
F0035,59,53,65,61,53,58
F0036,48,54,49,57,50,37
F0037,43,61,59,42,41,40
F0038,67,50,41,49,48,51
F0039,67,73,64,45,55,55
F0040,62,48,63,47,48,49
F0041,61,44,46,60,54,57
F0042,49,66,71,36,41,49
F0043,30,49,53,37,52,39
F0044,37,31,60,52,32,46
F0045,45,43,30,44,58,61
F0046,42,46,52,49,51,53
F0047,54,27,48,51,35,48
F0048,41,55,44,40,21,39
F0049,50,42,82,46,37,37
F0050,63,77,35,52,63,52
F0051,35,44,40,31,47,68
F0052,38,38,41,37,35,39
F0053,38,40,38,72,33,37
F0054,47,67,38,23,39,76
F0055,57,71,50,30,59,59
F0056,62,49,48,61,44,48
F0057,41,66,32,43,53,55
F0058,59,36,56,35,47,40
F0059,31,47,45,64,48,55
F0060,50,39,42,46,26,71
F0061,21,52,64,44,36,54
F0062,52,63,41,49,60,65
F0063,57,64,41,49,41,41
F0064,61,36,34,40,32,51
F0065,76,72,21,62,57,38
F0066,45,97,39,44,57,51
F0067,70,88,47,58,47,62
F0068,71,57,65,45,54,85
F0069,44,47,44,54,56,46
F0070,41,47,47,55,44,64
F0071,42,55,49,38,36,62
F0072,58,43,48,33,55,44
F0073,66,46,39,50,39,64
F0074,37,44,41,53,38,84
F0075,42,60,28,45,65,39
F0076,63,55,40,44,42,37
F0077,66,39,39,55,51,56
F0078,47,51,54,62,62,42
F0079,37,28,52,58,67,60
F0080,37,60,63,40,37,62
F0081,43,41,40,52,42,44
F0082,55,42,63,65,62,62
F0083,57,42,38,29,45,68
F0084,54,71,33,42,39,62
F0085,37,67,66,38,45,51
F0086,61,38,41,45,65,82
F0087,48,57,72,40,58,56
F0088,42,50,40,71,39,33
F0089,45,40,33,74,48,43
F0090,44,64,59,57,50,44
F0091,52,66,36,52,38,50
F0092,68,55,56,31,55,57
F0093,49,34,56,59,32,49
F0094,45,26,39,25,38,18
F0095,52,60,75,73,45,50
F0096,39,39,32,59,36,40
F0097,57,60,38,42,45,43
F0098,47,50,57,54,87,43
F0099,53,48,43,43,42,30
F0100,45,68,34,38,42,47
F0101,67,45,28,55,40,41
F0102,51,42,57,69,52,21
F0103,43,55,41,41,73,65
F0104,79,38,51,54,30,62
F0105,30,54,69,44,39,55
F0106,46,25,60,38,42,48
F0107,58,54,37,46,66,61
